iter	Passed	Remaining
0	30	30154
1	72	35946
2	103	34531
3	140	34878
4	169	33719
5	206	34137
6	233	33067
7	299	37137
8	329	36331
9	357	35422
10	386	34741
11	410	33822
12	443	33638
13	468	32998
14	495	32535
15	522	32131
16	566	32728
17	605	33058
18	639	32994
19	673	33023
20	703	32801
21	735	32698
22	766	32560
23	804	32715
24	839	32739
25	871	32637
26	908	32751
27	940	32666
28	973	32584
29	1010	32687
30	1048	32784
31	1079	32651
32	1103	32345
33	1124	31963
34	1149	31698
35	1195	32024
36	1231	32042
37	1265	32032
38	1304	32147
39	1327	31871
40	1350	31587
41	1380	31495
42	1402	31224
43	1436	31210
44	1456	30912
45	1486	30823
46	1506	30552
47	1540	30556
48	1567	30413
49	1603	30461
50	1621	30178
51	1647	30033
52	1697	30331
53	1721	30160
54	1803	30991
55	1891	31887
56	1929	31918
57	1975	32083
58	1997	31864
59	2027	31758
60	2054	31621
61	2087	31578
62	2109	31380
63	2143	31346
64	2268	32632
65	2317	32789
66	2347	32693
67	2382	32648
68	2524	34057
69	2552	33910
70	2574	33689
71	2597	33480
72	2629	33385
73	2658	33262
74	2695	33246
75	2724	33123
76	2748	32946
77	2783	32906
78	2806	32724
79	2835	32605
80	2854	32388
81	2884	32288
82	2910	32157
83	2948	32152
84	2988	32172
85	3011	32007
86	3042	31929
87	3073	31857
88	3111	31845
89	3151	31860
90	3191	31882
91	3230	31886
92	3255	31749
93	3280	31617
94	3311	31549
95	3334	31396
96	3358	31263
97	3417	31451
98	3449	31390
99	3485	31373
100	3509	31242
101	3554	31293
102	3583	31207
103	3607	31077
104	3633	30970
105	3659	30865
106	3706	30935
107	3738	30879
108	3784	30934
109	3815	30871
110	3840	30756
111	3871	30699
112	3906	30662
113	3934	30575
114	3969	30549
115	3999	30482
116	4026	30390
117	4060	30347
118	4082	30227
119	4107	30119
120	4139	30069
121	4169	30007
122	4202	29967
123	4237	29937
124	4268	29877
125	4299	29823
126	4329	29763
127	4359	29698
128	4386	29616
129	4424	29607
130	4460	29586
131	4479	29459
132	4501	29347
133	4529	29274
134	4569	29277
135	4599	29219
136	4635	29202
137	4680	29234
138	4720	29237
139	4764	29264
140	4795	29217
141	4887	29533
142	4953	29687
143	4983	29624
144	5007	29528
145	5045	29510
146	5084	29504
147	5112	29431
148	5164	29495
149	5189	29404
150	5217	29335
151	5239	29232
152	5262	29134
153	5295	29090
154	5315	28977
155	5337	28878
156	5368	28825
157	5401	28782
158	5434	28747
159	5469	28713
160	5490	28609
161	5535	28632
162	5575	28627
163	5608	28587
164	5665	28671
165	5698	28629
166	5732	28595
167	5770	28575
168	5801	28526
169	5841	28520
170	5876	28487
171	5899	28398
172	5932	28359
173	5968	28332
174	5998	28279
175	6036	28263
176	6076	28256
177	6104	28189
178	6138	28155
179	6178	28147
180	6218	28136
181	6245	28071
182	6280	28039
183	6320	28030
184	6345	27953
185	6367	27866
186	6408	27861
187	6441	27821
188	6466	27749
189	6492	27680
190	6534	27677
191	6563	27619
192	6596	27581
193	6621	27509
194	6669	27534
195	6715	27546
196	6740	27475
197	6778	27457
198	6813	27426
199	6840	27361
200	6874	27325
201	6901	27266
202	6929	27205
203	6973	27210
204	7006	27171
205	7034	27112
206	7059	27043
207	7087	26988
208	7120	26948
209	7146	26885
210	7185	26869
211	7210	26799
212	7235	26733
213	7258	26661
214	7287	26606
215	7320	26570
216	7357	26548
217	7386	26496
218	7420	26462
219	7509	26625
220	7569	26680
221	7652	26817
222	7680	26761
223	7715	26728
224	7748	26687
225	7772	26620
226	7828	26659
227	7853	26592
228	7886	26552
229	7908	26477
230	7941	26438
231	7966	26370
232	8015	26386
233	8042	26328
234	8062	26244
235	8095	26207
236	8127	26165
237	8155	26111
238	8180	26048
239	8204	25981
240	8233	25930
241	8263	25882
242	8303	25866
243	8339	25839
244	8375	25810
245	8416	25795
246	8448	25756
247	8488	25738
248	8532	25735
249	8564	25692
250	8590	25633
251	8615	25573
252	8649	25537
253	8674	25478
254	8711	25450
255	8743	25410
256	8778	25377
257	8810	25339
258	8846	25309
259	8876	25262
260	8901	25204
261	8937	25175
262	8969	25136
263	8994	25076
264	9038	25067
265	9083	25064
266	9108	25006
267	9130	24938
268	9162	24898
269	9188	24844
270	9230	24830
271	9251	24762
272	9289	24738
273	9329	24719
274	9362	24684
275	9407	24678
276	9458	24688
277	9491	24650
278	9514	24587
279	9541	24534
280	9572	24494
281	9606	24459
282	9631	24400
283	9663	24362
284	9697	24328
285	9721	24269
286	9754	24233
287	9785	24192
288	9820	24159
289	9854	24127
290	9897	24113
291	9923	24060
292	9946	24000
293	9969	23940
294	10007	23915
295	10032	23860
296	10060	23814
297	10095	23781
298	10131	23753
299	10178	23749
300	10216	23724
301	10292	23788
302	10403	23932
303	10505	24051
304	10654	24278
305	10689	24243
306	10718	24194
307	10744	24139
308	10772	24089
309	10815	24072
310	10843	24022
311	10872	23974
312	10909	23946
313	10941	23904
314	10971	23859
315	11011	23834
316	11049	23806
317	11080	23762
318	11116	23732
319	11147	23688
320	11172	23631
321	11214	23614
322	11255	23592
323	11277	23529
324	11362	23598
325	11397	23564
326	11445	23555
327	11478	23517
328	11508	23470
329	11542	23435
330	11578	23401
331	11621	23383
332	11640	23316
333	11699	23329
334	11732	23289
335	11750	23220
336	11780	23176
337	11829	23168
338	11857	23119
339	11897	23095
340	11929	23054
341	11957	23006
342	12001	22988
343	12047	22974
344	12084	22943
345	12119	22908
346	12160	22884
347	12190	22839
348	12240	22832
349	12283	22811
350	12314	22768
351	12348	22732
352	12391	22712
353	12429	22681
354	12457	22634
355	12501	22614
356	12601	22696
357	12640	22667
358	12666	22615
359	12690	22561
360	12715	22507
361	12748	22468
362	12774	22416
363	12801	22367
364	12825	22312
365	12852	22262
366	12877	22210
367	12903	22161
368	12992	22217
369	13020	22170
370	13048	22123
371	13084	22089
372	13114	22044
373	13161	22028
374	13211	22018
375	13250	21990
376	13276	21939
377	13329	21934
378	13380	21924
379	13461	21962
380	13495	21926
381	13526	21882
382	13562	21848
383	13684	21952
384	13724	21923
385	13759	21887
386	13916	22043
387	13953	22009
388	13993	21978
389	14032	21947
390	14062	21903
391	14088	21851
392	14119	21807
393	14147	21759
394	14184	21725
395	14232	21708
396	14260	21659
397	14289	21614
398	14313	21559
399	14345	21518
400	14373	21470
401	14400	21421
402	14435	21384
403	14505	21399
404	14546	21370
405	14590	21346
406	14622	21305
407	14662	21275
408	14688	21223
409	14714	21174
410	14743	21128
411	14773	21084
412	14815	21057
413	14854	21026
414	14892	20993
415	14934	20965
416	14965	20922
417	15002	20888
418	15035	20848
419	15080	20825
420	15134	20814
421	15172	20781
422	15210	20748
423	15267	20740
424	15305	20707
425	15330	20656
426	15354	20604
427	15391	20570
428	15427	20534
429	15473	20511
430	15529	20501
431	15564	20464
432	15592	20417
433	15617	20367
434	15640	20314
435	15670	20271
436	15695	20221
437	15728	20181
438	15757	20135
439	15787	20093
440	15880	20129
441	15941	20124
442	15966	20075
443	15991	20024
444	16016	19975
445	16046	19932
446	16070	19881
447	16099	19836
448	16132	19797
449	16155	19745
450	16183	19700
451	16212	19656
452	16239	19608
453	16264	19560
454	16293	19516
455	16332	19484
456	16355	19433
457	16374	19377
458	16410	19342
459	16441	19301
460	16469	19256
461	16507	19223
462	16535	19178
463	16570	19141
464	16607	19107
465	16632	19059
466	16662	19017
467	16704	18989
468	16748	18962
469	16780	18922
470	16816	18887
471	16847	18846
472	16894	18823
473	16939	18798
474	16973	18760
475	17004	18719
476	17044	18688
